Camera,Date,Time,Temp (°F),Flow Code,
V200-05,8/12/2025,13:08,77,0,
V200-05,8/13/2025,13:08,69,0,
V200-05,8/14/2025,13:08,66,0,
V200-05,8/15/2025,13:08,66,0,
V200-05,8/16/2025,13:08,64,0,
V200-05,8/17/2025,13:08,62,0,
V200-05,8/18/2025,13:08,71,0,
V200-05,8/19/2025,13:08,68,0,
V200-05,8/20/2025,13:08,77,0,
V200-05,8/21/2025,13:08,77,0,
V200-05,8/22/2025,13:08,78,0,
V200-05,8/23/2025,13:08,78,0,
V200-05,8/24/2025,13:08,78,0,
V200-05,8/25/2025,13:08,77,0,
V200-05,8/26/2025,13:08,68,0,
V200-05,8/27/2025,13:08,66,0,
V200-05,8/28/2025,13:08,71,0,
V200-05,8/29/2025,13:08,68,0,
V200-05,8/30/2025,13:08,77,0,
V200-05,8/31/2025,13:08,73,0,
V200-05,9/1/2025,13:08,60,0,
V200-05,9/2/2025,13:08,73,0,
V200-05,9/3/2025,13:08,69,0,
V200-05,9/4/2025,13:08,55,0,
V200-05,9/5/2025,13:08,59,0,
V200-05,9/6/2025,13:08,64,0,
V200-05,9/7/2025,13:08,64,0,
V200-05,9/8/2025,13:08,64,0,
V200-05,9/9/2025,13:08,77,0,
V200-05,9/10/2025,13:08,73,0,
V200-05,9/11/2025,13:08,71,0,
V200-05,9/12/2025,13:08,71,0,
V200-05,9/13/2025,13:08,66,0,
V200-05,9/14/2025,13:08,69,0,
V200-05,9/15/2025,13:08,66,0,
V200-05,9/16/2025,13:08,64,0,
V200-05,9/17/2025,13:08,60,0,
V200-05,9/18/2025,13:08,60,0,
V200-05,9/19/2025,12:17,68,0,
V200-05,9/20/2025,12:17,62,0,
V200-05,9/21/2025,12:17,75,0,
V200-05,9/22/2025,12:17,68,0,
V200-05,9/23/2025,12:17,60,0,
V200-05,9/24/2025,12:17,73,0,
V200-05,9/25/2025,12:17,75,0,
V200-05,9/26/2025,12:17,48,0,
V200-05,9/27/2025,12:17,55,0,
V200-05,9/28/2025,12:17,69,0,
V200-05,9/29/2025,12:17,69,0,
V200-05,9/30/2025,12:17,71,0,
V200-05,10/1/2025,12:17,73,0,
V200-05,10/2/2025,12:17,75,0,
V200-05,10/3/2025,12:17,73,0,
V200-05,10/4/2025,12:17,73,0,
V200-05,10/5/2025,12:17,69,0,
V200-05,10/6/2025,12:17,71,0,
V200-05,10/7/2025,12:20,62,0,
V200-05,10/8/2025,12:26,60,0,
V200-05,10/8/2025,16:34,60,0,
V200-05,10/8/2025,17:20,64,0,
V200-06,8/12/2025,12:17,75,0,
V200-06,8/13/2025,12:17,68,0,
V200-06,8/14/2025,12:17,64,0,
V200-06,8/15/2025,12:17,64,0,
V200-06,8/16/2025,12:17,60,0,
V200-06,8/17/2025,12:17,60,0,
V200-06,8/18/2025,12:17,68,0,
V200-06,8/19/2025,12:17,68,0,
V200-06,8/20/2025,12:17,71,0,
V200-06,8/21/2025,12:17,75,0,
V200-06,8/22/2025,12:17,75,0,
V200-06,8/23/2025,12:17,75,0,
V200-06,8/24/2025,12:17,75,0,
V200-06,8/25/2025,12:17,73,0,
V200-06,8/26/2025,12:17,66,0,
V200-06,8/27/2025,12:17,64,0,
V200-06,8/28/2025,12:17,68,0,
V200-06,8/29/2025,12:17,64,0,
V200-06,8/30/2025,12:17,69,0,
V200-06,8/31/2025,12:17,69,0,
V200-06,9/1/2025,12:17,59,0,
V200-06,9/2/2025,12:17,68,0,
V200-06,9/3/2025,12:17,68,0,
V200-06,9/4/2025,12:17,53,0,
V200-06,9/5/2025,12:17,55,0,
V200-06,9/6/2025,12:17,60,0,
V200-06,9/7/2025,12:17,64,0,
V200-06,9/8/2025,12:17,68,0,
V200-06,9/9/2025,12:17,71,0,
V200-06,9/10/2025,12:17,69,0,
V200-06,9/11/2025,12:17,68,0,
V200-06,9/12/2025,12:17,68,0,
V200-06,9/13/2025,12:17,60,0,
V200-06,9/14/2025,12:17,68,0,
V200-06,9/15/2025,12:17,69,0,
V200-06,9/16/2025,12:17,66,0,
V200-06,9/17/2025,12:17,64,0,
V200-06,9/18/2025,12:17,57,0,
V200-06,9/19/2025,12:17,64,0,
V200-06,9/20/2025,12:17,62,0,
V200-06,9/21/2025,12:17,68,0,
V200-06,9/22/2025,12:17,66,0,
V200-06,9/23/2025,12:17,62,0,
V200-06,9/24/2025,12:17,68,0,
V200-06,9/25/2025,12:17,68,0,
V200-06,9/26/2025,12:17,48,0,
V200-06,9/27/2025,12:17,55,0,
V200-06,9/28/2025,12:17,62,0,
V200-06,9/29/2025,12:17,62,0,
V200-06,9/30/2025,12:17,66,0,
V200-06,10/1/2025,12:17,66,0,
V200-06,10/2/2025,12:17,69,0,
V200-06,10/3/2025,12:17,68,0,
V200-06,10/4/2025,12:17,66,0,
V200-06,10/5/2025,12:17,64,0,
V200-06,10/6/2025,8:13,53,0,
V200-06,10/6/2025,16:13,64,0,
V200-06,11/20/2025,23:12,44,0,
V200-06,11/21/2025,23:12,48,0,
V200-01,9/19/2025,9:43,62,0,
V200-01,9/19/2025,17:43,64,0,
V200-01,9/20/2026,9:43,62,0,
V200-01,9/20/2026,17:43,64,0,
V200-01,9/21/2026,9:43,68,0,
V200-01,9/21/2026,17:43,57,0,
V200-01,9/22/2025,9:43,64,0,
V200-01,9/23/2025,9:43,68,0,
V200-01,9/23/2025,17:43,57,0,
V200-01,9/24/2025,9:43,66,0,
V200-01,9/24/2025,17:43,59,0,
V200-01,9/25/2025,9:43,69,0,
V200-01,9/26/2025,9:43,51,0,
V200-01,9/27/2025,9:43,55,0,
V200-01,9/27/2025,17:43,57,0,
V200-01,9/28/2025,9:43,59,0,
V200-01,9/28/2025,17:43,57,0,
V200-01,9/29/2025,9:43,60,0,
V200-01,9/29/2025,17:43,60,0,
V200-01,9/30/2025,9:43,64,0,
V200-01,9/30/2025,17:43,59,0,
V200-01,10/1/2025,9:43,62,0,
V200-01,10/1/2025,17:43,60,0,
V200-01,10/2/2025,9:43,64,0,
V200-01,10/2/2025,17:43,64,0,
V200-01,10/3/2025,9:43,69,0,
V200-01,10/3/2025,17:43,68,0,
V200-01,10/4/2025,9:43,66,0,
V200-01,10/5/2025,9:43,62,0,
V200-01,10/6/2025,9:43,59,0,
V200-01,10/6/2025,17:43,62,0,
V200-01,10/7/2025,9:43,60,0,
V200-01,10/7/2025,17:43,62,0,
V200-01,10/8/2025,9:43,66,0,
V200-01,10/8/2025,17:43,60,0,
V200-01,10/9/2025,9:43,62,0,
V200-01,10/10/2025,9:43,66,0,
V200-01,10/11/2025,9:43,62,0,
V200-01,10/12/2025,9:43,57,0,
V200-01,10/13/2025,9:43,53,0,
V200-01,10/14/2025,9:43,59,0,
V200-01,10/15/2025,9:43,53,0,
V200-01,10/16/2025,9:43,50,0,
V200-01,10/17/2025,9:43,51,0,
V200-01,10/18/2025,9:43,50,0,
V200-01,10/19/2025,9:43,53,0,
V200-01,10/20/2025,9:43,51,0,
V200-01,10/21/2025,9:43,53,0,
V200-01,10/22/2025,9:43,53,0,
V200-01,10/23/2025,9:43,59,0,
V200-01,10/24/2025,9:43,48,0,
V200-01,10/25/2025,9:43,50,0,
V200-01,10/26/2025,9:43,50,0,
V200-01,10/27/2025,9:43,50,0,
V200-01,10/28/2025,9:43,51,0,
V200-01,10/29/2025,9:43,50,0,
V200-01,10/30/2025,9:43,55,0,
V200-01,10/31/2025,9:43,55,0,
V200-01,11/1/2025,9:43,48,0,
